,List of issued Member ID/Manufacturer code,
,,"March 18,2026"
Manufacturer code,Company,
Hexadecimal number,,
000133,"afterFIT Co., Ltd."," Withdrawn (March 31, 2024)"
00002F,"AIPHONE CO., LTD.",
00011A,"ACCESS CO.,LTD.",
00002C,"AFT CO.,LTD"," Withdrawn (March 31, 2025)"
000068,AISIN CORPORATION," This company name is changed from ""AISIN SEIKI Co.,Ltd"" (June, 2021)"
000079,"Anritsu Engineering Co.,Ltd,"," Withdrawn (March 31, 2020)"
00007F,"ANRITSU CUSTOMER SUPPORT CO., LTD."," Withdrawn (March 31, 2020)"
000110,ASUKA SOLUTION COMPANY LIMITED,
000096,Azbil Corporation,
0000FD,"Bellnix Co.,LTD"," Withdrawn (March 31, 2020)"
0000CC,"Bosch Home Comfort Japan, Inc."," This company name is changed from ""Hitachi-Johnson Controls Air Conditioning,Inc."" (Aug 29, 2025)"
00006F,BUFFALO INC.,
0000B6,"Bunka Shutter Co., Ltd",
000017,Carrier Japan Corporation," This company name is changed from ""TOSHIBA CARRIER CORPORATION"" (May 31, 2024)"
0000D2,CHOFUKOSAN.Co.Ltd," Withdrawn (March 31, 2021)"
000088,"CHOFU SEISAKUSHO CO.,LTD.",
0000D5,"Choshu Industry Co., Ltd."," Withdrawn (March 31, 2023)"
0000A3,"Chubu Electric Power Grid Co.,Inc."," Transferred from ""CHUBU Electric Power Co.,Inc.""(April 24, 2020)"
000136,"Chuo Bussan Co.,Ltd."," Withdrawn (March 6, 2025)"
0000FB,CICO CORPORATION," Withdrawn (March 31, 2022)"
0000F8,CIMX INITIATIVE INC.," This company name is changed from ""Avenir,Inc."""
000123,"Contec Co., Ltd.",
000130,COOLDESIGN Corporation,
000067,CORONA CORPORATION,
00013B,Crossdoor Inc.,
000143,"Deye Energy Japan Co., Ltd.",
00009C,"Diamond Electric Mfg.Co.,Ltd."," Withdrawn (March 31, 2021)"
000080,"DIAMOND&ZEBRA ELECTRIC MFG.CO.,LTD."," This company name is changed from ""TABUCHI ELECTRIC Co.,Ltd."" (November 11, 2021)"
000119,DAIHEN Corporation,
000008,"DAIKIN INDUSTRIES,LTD.",
000015,Daikin Systems&Solutions Laboratory Ltd.," Withdrawn (October 23, 2020)"
000141,"DAIKO ELECTRIC CO.,LTD.",
00004F,"Daiwa House Industry co.,Ltd",
000103,Data Technology Inc.," Withdrawn (March 31, 2020)"
0000E3,"DDL Co.,Ltd",
0000AD,"Delta Electronics (Japan), Inc.",
0000BE,"DENKEN Co.,Ltd."," Withdrawn (March 31, 2022)"
0000F4,DENSO AIRCOOL CORPORATION,
00003C,DENSO Corporation,
000109,"DENSO Co.,LTD.",
00012B,DENSO WAVE INCORPORATED,
000113,"EBARA JITSUGYO CO., LTD"," Transferred from ""EBARA JITSUGYO CO., LTD."" (April 1, 2021),  
This company name is changed from ""EBARA JITSUGYO POWER CO., LTD."" (June 13, 2024)"
000057,"ELIIYPower Co.,ltd",
00012E,"Eneres Co.,Ltd.",
000041,"ENEGATE CO.,LTD.",
00010A,ENERGY GAP CORPORATION,
0000F3,"Energy Gateway, Inc",
00013F,Energy Pool Japan K.K.,
0000F2,Energy Solutions Inc.,
000072,"Eneres Co.,Ltd.",
0000DD,EneStone Corporation,
000132,"EX4Energy, Inc.",
000055,FAMILYNET JAPAN CORPORATION,
0000F6,Field Logic Inc.,
